,Fecha,Hora,AE_kWh
865,06/08/2020,2,0.196
866,06/08/2020,3,0.2
867,06/08/2020,4,0.2
868,06/08/2020,5,0.197
869,06/08/2020,6,0.195
870,06/08/2020,7,0.194
871,06/08/2020,8,0.632
872,06/08/2020,9,0.614
873,06/08/2020,10,0.209
874,06/08/2020,11,0.195
875,06/08/2020,12,0.192
876,06/08/2020,13,0.186
877,06/08/2020,14,0.185
878,06/08/2020,15,0.234
879,06/08/2020,16,0.278
880,06/08/2020,17,0.314
881,06/08/2020,18,0.245
882,06/08/2020,19,0.24
883,06/08/2020,20,0.236
884,06/08/2020,21,0.245
885,06/08/2020,22,0.242
886,06/08/2020,23,0.341
887,06/08/2020,24,0.27
888,07/08/2020,1,0.205
889,07/08/2020,2,0.208
890,07/08/2020,3,0.226
891,07/08/2020,4,0.234
892,07/08/2020,5,0.207
893,07/08/2020,6,0.209
894,07/08/2020,7,0.201
895,07/08/2020,8,0.337
896,07/08/2020,9,0.191
897,07/08/2020,10,0.189
898,07/08/2020,11,0.198
899,07/08/2020,12,0.19
900,07/08/2020,13,0.189
901,07/08/2020,14,0.189
902,07/08/2020,15,0.192
903,07/08/2020,16,0.194
904,07/08/2020,17,0.19
905,07/08/2020,18,0.189
906,07/08/2020,19,0.19
907,07/08/2020,20,0.189
908,07/08/2020,21,0.19
909,07/08/2020,22,0.272
910,07/08/2020,23,0.317
911,07/08/2020,24,0.268
912,08/08/2020,1,0.207
913,08/08/2020,2,0.195
914,08/08/2020,3,0.203
915,08/08/2020,4,0.194
916,08/08/2020,5,0.193
917,08/08/2020,6,0.204
918,08/08/2020,7,0.195
919,08/08/2020,8,0.237
920,08/08/2020,9,0.204
921,08/08/2020,10,0.375
922,08/08/2020,11,0.282
923,08/08/2020,12,0.344
924,08/08/2020,13,0.309
925,08/08/2020,14,0.255
926,08/08/2020,15,1.428
